Time (s),Angle of Attack (°)
0.000000,94.855521
0.600000,94.855521
0.750000,94.855521
0.900000,94.855521
0.903075,94.855521
0.906150,94.855521
0.912300,94.855521
0.918450,94.855521
0.924599,94.855521
0.927211,94.855521
0.929823,94.855521
0.935047,94.855521
0.940270,94.855521
0.945494,94.855521
0.947597,94.855521
0.949701,94.821626
0.953297,94.680499
0.956892,94.372809
0.960488,93.898130
0.996445,80.013944
1.032402,54.502480
1.068359,32.935103
1.074658,30.182504
1.080957,27.707944
1.087255,25.486820
1.089775,24.666066
1.092295,23.889495
1.094814,23.158691
1.099853,21.819909
1.104892,20.624197
1.109931,19.550696
1.160322,12.858708
1.210713,9.619687
1.261104,7.723780
1.311494,6.483576
1.330162,6.127037
1.348830,5.811384
1.367497,5.529576
1.393264,5.184718
1.419031,4.881364
1.444798,4.612496
1.678877,3.096353
1.791720,2.684986
1.798528,2.652683
1.805335,2.620750
1.818951,2.558092
1.832566,2.496767
1.846182,2.436690
1.889216,2.254181
1.932251,2.081232
1.975286,1.916118
2.000002,1.824288
2.024718,1.734396
2.049433,1.646248
2.096635,1.482211
2.143837,1.323033
2.191039,1.168100
2.257469,0.956464
2.323898,0.752584
2.390327,0.557532
2.456757,0.374313
2.523186,0.212542
2.589615,0.124707
2.656045,0.197242
2.730726,0.332839
2.805408,0.458031
2.880090,0.560097
2.954772,0.634210
2.975124,0.649159
2.995476,0.661783
3.015829,0.672048
3.048097,0.683444
3.080365,0.688830
3.112633,0.688218
3.149025,0.680414
3.185417,0.665233
3.221809,0.642927
3.242029,0.627561
3.262248,0.610166
3.282467,0.590818
3.324074,0.545305
3.365680,0.492778
3.407286,0.434226
3.469555,0.337574
3.531825,0.234406
3.594094,0.129973
3.656363,0.045019
3.672349,0.044874
3.688335,0.058492
3.704321,0.078453
3.783271,0.187339
3.862222,0.277402
3.941172,0.337269
4.020123,0.362529
4.084114,0.356902
4.148105,0.329243
4.212096,0.282320
4.276087,0.220233
4.340078,0.148372
4.404069,0.074348
4.468060,0.032801
4.500505,0.055197
4.532950,0.085089
4.565396,0.113996
4.597841,0.139881
4.610758,0.149127
4.623675,0.157710
4.636593,0.165597
4.691184,0.190758
4.739279,0.201327
4.777785,0.201729
4.816290,0.195168
4.854796,0.182090
4.893302,0.163164
4.948357,0.127692
5.003412,0.085161
5.058467,0.039743
5.113522,0.014634
5.168578,0.052216
5.231692,0.091607
5.276447,0.112181
5.321202,0.125460
5.365957,0.130965
5.410712,0.128699
5.463974,0.116507
5.517236,0.095526
5.570498,0.068296
5.623760,0.038227
5.677022,0.014060
5.730284,0.028483
5.783546,0.051055
5.836808,0.067628
5.918645,0.077127
6.000482,0.066670
6.060734,0.048630
6.120986,0.025232
6.181239,0.002987
6.241491,0.023831
6.301743,0.042118
6.361995,0.053100
6.459091,0.052951
6.527999,0.041009
6.596907,0.023142
6.665815,0.007044
6.734723,0.016524
6.803631,0.027011
6.872539,0.029970
6.941447,0.028601
7.010355,0.024855
7.079264,0.017801
7.148172,0.010942
7.202330,0.010017
7.256488,0.013403
7.310646,0.016565
7.364804,0.017422
7.418962,0.015716
7.473121,0.012067
7.527279,0.007841
7.581437,0.006096
7.635595,0.008526
7.711768,0.012193
7.787942,0.012385
7.864115,0.009048
7.927506,0.005322
7.990897,0.004274
8.054287,0.006212
8.117678,0.007287
8.181069,0.006513
8.244460,0.004245
8.307851,0.001987
8.371242,0.003205
8.434633,0.005006
8.507403,0.005422
8.580172,0.004002
8.652942,0.001750
8.725712,0.001699
8.798482,0.002724
8.871252,0.002327
8.944022,0.000000
9.016792,0.000000
9.089562,0.001797
9.162332,0.002246
9.173989,0.003243
9.185646,0.004891
9.197303,0.006694
9.208960,0.008507
9.220617,0.010266
9.243931,0.013485
9.267245,0.016151
9.290559,0.018142
9.313873,0.019382
9.355916,0.019650
9.397958,0.017508
9.440001,0.013490
9.482044,0.008400
9.524086,0.003032
9.583807,0.001953
9.643527,0.004716
9.703248,0.003365
9.752104,0.000000
9.800960,0.003938
9.849816,0.007950
9.898672,0.010752
9.947528,0.011789
9.996384,0.010992
10.051371,0.008369
10.106358,0.004857
10.161345,0.001246
10.216332,0.000000
10.271319,0.000000
10.326306,0.000862
10.381293,0.003702
10.436280,0.006050
10.491267,0.007546
10.546254,0.007835
10.601241,0.006979
10.656228,0.005394
10.719829,0.003380
10.783430,0.001969
10.847030,0.001919
10.910631,0.003102
10.959021,0.004304
10.965778,0.004469
10.972534,0.004630
10.979290,0.004787
10.992803,0.005084
11.006316,0.005355
