time_s,mean_thrust_N,fitted_thrust_N,std_thrust_N,ci95_lower_N,ci95_upper_N
0.168,4519.712212347477,4450.521893425882,331.6775185868553,4319.712212347477,4719.712212347477
0.17,4519.712212347477,4450.645189201069,329.4034484173674,4319.712212347477,4719.712212347477
0.17200000000000001,4519.712212347477,4450.768370606944,325.2937616142533,4319.712212347477,4719.712212347477
0.17400000000000002,4519.712212347477,4450.891437689493,319.6781799987008,4319.712212347477,4719.712212347477
0.176,4519.712212347477,4451.014390494702,313.0933602334315,4319.712212347477,4719.712212347477
0.178,4519.712212347477,4451.137229068558,306.3017905815578,4319.712212347477,4719.712212347477
0.18,4519.712212347477,4451.2599534570445,300.1328585669769,4319.712212347477,4719.712212347477
0.182,4519.712212347477,4451.38256370615,295.3147761246785,4319.712212347477,4719.712212347477
0.184,4519.712212347477,4451.50505986186,292.2754699463969,4319.712212347477,4719.712212347477
0.186,4519.712212347477,4451.6274419701585,291.03662306355824,4319.712212347477,4719.712212347477
0.188,4519.712212347477,4451.749710077034,291.24967912170524,4319.712212347477,4719.712212347477
0.19,4519.712212347477,4451.871864228471,292.3229498801523,4319.712212347477,4719.712212347477
0.192,4519.712212347477,4451.993904470456,293.65457134631777,4319.712212347477,4719.712212347477
0.194,4519.712212347477,4452.115830848975,294.7865120610209,4319.712212347477,4719.712212347477
0.196,4519.712212347477,4452.237643410012,295.4536442089416,4319.712212347477,4719.712212347477
0.198,4519.712212347477,4452.3593421995565,295.58546364027245,4319.712212347477,4719.712212347477
0.2,4519.712212347477,4452.480927263592,295.24895500126854,4319.712212347477,4719.712212347477
0.202,4519.712212347477,4452.602398648105,294.5923306506056,4319.712212347477,4719.712212347477
0.20400000000000001,4519.712212347477,4452.723756399081,293.8703400878819,4319.712212347477,4719.712212347477
0.20600000000000002,4519.712212347477,4452.845000562507,293.43129296896876,4319.712212347477,4719.712212347477
0.20800000000000002,4519.712212347477,4452.966131184368,293.71704813158647,4319.712212347477,4719.712212347477
0.21,4519.712212347477,4453.087148310651,295.1813399499329,4319.712212347477,4719.712212347477
0.212,4519.712212347477,4453.208051987342,298.1689685885301,4319.712212347477,4719.712212347477
0.214,4519.712212347477,4453.328842260425,302.7593119811428,4319.712212347477,4719.712212347477
0.216,4519.712212347477,4453.449519175887,308.66083867156226,4319.712212347477,4719.712212347477
0.218,4519.712212347477,4453.5700827797145,315.22294079221643,4319.712212347477,4719.712212347477
0.22,4519.712212347477,4453.690533117893,321.5685026698314,4319.712212347477,4719.712212347477
