time_s,run_1_4-tenso raketa-filtered-regression.txt_thrust_N,run_2_4-tenso raketa-filtered-regression_05_hf1.txt_thrust_N,run_3_4-tenso raketa-filtered-regression_05_hf4.txt_thrust_N,run_4_4-tenso raketa-filtered-regression_05_hf5.txt_thrust_N,run_5_THRUST-testdata.txt_thrust_N
0.0,772.6075532582588,994.9863783276876,702.5082105254168,859.8160082584127,754.0549564991059
0.002,1146.0129423802655,1486.664773807671,968.9624557929984,1258.2562391407675,955.5820330663606
0.004,1564.0748013970936,2021.6948353321773,1264.6699633774253,1696.4565072517098,1206.0509761959552
0.006,2005.6036899871924,2560.351006587969,1576.642981244334,2148.461303696602,1499.350380589839
0.008,2446.3816225666583,3054.703975341461,1889.2454557391752,2582.9118308970906,1824.8162796865702
0.01,2863.6639344565488,3460.1876345034975,2186.473856496986,2969.26887864545,2168.15796701229
0.012,3240.4493494119833,3740.427752425861,2454.7566774994143,3281.7335687527825,2513.0894548044157
0.014,3565.7497484933974,3869.6308164369075,2683.2457806506895,3500.301521598659,2843.3893100079877
0.016,3840.0273814664583,3852.175980707039,2869.0265667571143,3623.6634778789175,3144.92907385904
0.018000000000000002,4068.5319938565167,3709.890972879023,3013.4468047815317,3659.1044728311263,3407.1849547803613
0.02,4258.697574911894,3481.671871892387,3120.725064445542,3625.725956322455,3623.923566133525
0.022,4420.409150135968,3222.8073790237086,3198.892255596021,3554.965833019453,3793.053223920968
0.024,4560.585206555422,2985.7034359603667,3254.228123090406,3475.3271023165703,3915.909523015501
0.026000000000000002,4683.384625189964,2816.831631753532,3291.1077888093805,3412.195222973562,3996.367727339766
0.028,4791.323879871908,2741.08138801192,3313.8109210210887,3381.606704342676,4040.099700992463
0.03,4883.925625120995,2763.401646294628,3326.1385530019666,3390.2878998667265,4054.0799083077395
0.032,4958.30109991693,2869.8912218482196,3333.489609170487,3436.8862859119436,4046.224837412829
0.034,5011.698050103942,3025.017298795952,3343.7974450661995,3512.8784826950887,4024.9482099536385
0.036000000000000004,5040.946045091084,3188.480349876354,3366.0948149998844,3608.8314323075488,3998.4783796040438
0.038,5042.943937194053,3319.645556934653,3409.8478321499556,3715.892216397308,3973.966915958299
0.04,5017.679678366108,3390.7840486708296,3480.472822496369,3826.9204626216374,3956.609413306989
0.042,4967.383760144053,3390.726182557745,3579.412127471288,3937.0219858824944,3949.0872469837914
0.044,4893.036320133288,3324.8863467450255,3703.8059376803517,4041.8778741315946,3951.563291070148
0.046,4805.065599070112,3218.136748146371,3845.1098852694445,4137.0917747819,3962.256637191252
0.048,4710.633613133666,3101.0842387061607,3993.549629065139,4217.454539111452,3978.3870377188564
0.05,4619.738924779399,3005.53055192015,4138.963675950257,4277.423871732425,3997.140549951988
0.052000000000000005,4541.645840572864,2953.775971314585,4273.072549627482,4313.964178510816,4016.333527112081
0.054,4483.326117925973,2954.9842775081984,4390.240045500333,4326.610384588826,4034.6229051074583
0.056,4448.4228879203565,3004.907136774322,4486.677011333405,4318.721445635504,4051.3303838821935
0.058,4435.4943102823845,3083.6695221600617,4561.9553349800835,4298.056480657841,4066.101098752691
0.06,4440.586692534348,3166.3892516377023,4616.5700185127835,4273.637091720533,4078.635059387408
0.062,4458.094307335731,3227.174864237922,4651.575480120959,4250.696571909657,4088.6246031709447
0.064,4481.98845065838,3248.784038063587,4670.113941366385,4246.211840541378,4095.879583950803
0.066,4507.844870315993,3225.484735825274,4675.489362202112,4254.64166887399,4100.510733544953
0.068,4532.720634744837,3163.2278272265517,4671.446278773207,4272.937162862802,4103.020591959163
0.07,4555.020693958193,3080.441553749768,4662.499273132961,4295.681868588399,4104.218106435004
0.07200000000000001,4573.735432071576,2998.4125851108274,4652.428783080812,4317.749524553478,4104.982701853395
0.074,4587.875133716313,2937.6466553008013,4644.271410457787,4335.590269940109,4105.993228266033
0.076,4596.694763100552,2909.9292356519377,4639.72701929772,4348.469811858971,4107.557051472618
0.078,4599.677187095585,2917.21957186683,4639.331903281061,4357.823946410316,4109.6158009777355
0.08,4596.984577880356,2952.206103905168,4642.852647937575,4366.272278540034,4111.9045811096385
0.082,4589.897144059249,2999.0038509985925,4649.343738480203,4376.105334768837,4114.161563456903
0.084,4580.162771128826,3041.1626301594597,4657.877225491681,4388.1255637048225,4116.269511007403
0.08600000000000001,4569.714671980922,3064.8165603924767,4667.5964685132485,4401.36516616452,4118.262967579948
