0,NaN
0.01,NaN
0.02,NaN
0.03,NaN
0.035,NaN
0.043,NaN
0.053,NaN
0.063,NaN
0.073,NaN
0.083,NaN
0.093,NaN
0.103,NaN
0.112,NaN
0.122,NaN
0.132,NaN
0.143,NaN
0.153,NaN
0.163,NaN
0.173,NaN
0.183,NaN
0.192,NaN
0.202,NaN
0.212,NaN
0.222,NaN
0.232,NaN
0.242,NaN
0.252,NaN
0.262,NaN
0.272,NaN
0.282,NaN
0.292,NaN
0.302,NaN
0.312,NaN
0.322,NaN
0.332,NaN
0.342,NaN
0.352,NaN
0.362,NaN
0.372,NaN
0.376,NaN
0.382,NaN
0.391,NaN
0.401,NaN
0.411,NaN
0.421,NaN
0.431,NaN
0.441,NaN
0.451,NaN
0.461,NaN
0.471,NaN
0.481,NaN
0.491,NaN
0.501,NaN
0.511,NaN
0.521,NaN
0.525,NaN
0.531,NaN
0.54,NaN
0.55,NaN
0.56,NaN
0.57,NaN
0.58,NaN
0.59,NaN
0.6,NaN
0.61,NaN
0.62,NaN
0.63,NaN
0.64,NaN
0.65,NaN
0.66,NaN
0.67,NaN
0.68,NaN
0.69,NaN
0.7,NaN
0.71,NaN
0.72,NaN
0.73,NaN
0.74,NaN
0.75,NaN
0.76,NaN
0.77,NaN
0.78,NaN
0.79,0.853
0.805,0.839
0.828,0.814
0.861,0.793
0.911,0.735
0.927,0.715
0.951,0.705
0.986,0.698
1.036,0.673
1.086,0.637
1.136,0.597
1.186,0.557
1.207,0.549
1.238,0.544
1.286,0.534
1.336,0.519
1.386,0.499
1.436,0.477
1.46,0.486
1.497,0.5
1.547,0.508
1.597,0.523
1.647,0.535
1.697,0.539
1.747,0.543
1.797,0.549
1.847,0.549
1.897,0.543
1.932,0.544
1.982,0.542
2.032,0.54
2.082,0.532
2.132,0.516
2.182,0.5
2.232,0.494
2.282,0.488
2.291,0.491
2.305,0.497
2.325,0.504
2.355,0.51
2.401,0.519
2.451,0.525
2.501,0.528
2.551,0.526
2.601,0.519
2.623,0.52
2.656,0.519
2.706,0.511
2.756,0.501
2.789,0.495
2.838,0.494
2.888,0.502
2.938,0.51
2.988,0.516
3.038,0.513
3.051,0.515
3.071,0.517
3.101,0.519
3.145,0.517
3.195,0.509
3.245,0.499
3.295,0.488
3.322,0.49
3.362,0.499
3.412,0.505
3.462,0.51
3.512,0.513
3.562,0.514
3.612,0.509
3.62,0.508
3.633,0.507
3.652,0.504
3.68,0.499
3.723,0.493
3.773,0.496
3.823,0.502
3.856,0.507
3.905,0.508
3.955,0.506
4.004,0.501
4.054,0.496
4.104,0.49
4.154,0.494
4.204,0.499
4.254,0.501
4.304,0.5
4.328,0.501
4.365,0.499
4.415,0.493
4.465,0.49
4.515,0.493
4.565,0.498
4.615,0.499
4.643,0.5
4.685,0.498
4.735,0.493
4.785,0.489
4.835,0.491
4.885,0.496
4.935,0.497
4.985,0.492
4.992,0.492
5.002,0.493
5.017,0.492
5.039,0.491
5.072,0.489
5.122,0.485
5.141,0.486
5.17,0.492
5.213,0.495
5.246,0.494
5.296,0.49
5.346,0.488
5.386,0.486
5.436,0.489
5.486,0.492
5.536,0.493
5.586,0.491
5.636,0.487
5.686,0.484
5.727,0.486
5.777,0.49
5.827,0.488
5.877,0.486
5.927,0.485
5.977,0.483
6.027,0.482
6.077,0.484
6.127,0.488
6.177,0.49
6.227,0.488
6.277,0.483
6.327,0.484
6.377,0.486
6.427,0.487
6.477,0.487
6.527,0.485
6.577,0.481
6.627,0.479
6.677,0.483
6.727,0.487
6.777,0.488
6.827,0.489
6.877,0.487
6.927,0.482
6.977,0.478
7.027,0.481
7.077,0.485
7.127,0.487
7.177,0.487
7.227,0.486
7.277,0.484
7.327,0.479
7.377,0.478
