0.469,0.012
0.469,0.012
0.469,0.012
0.467,0.012
0.466,0.012
0.464,0.013
0.46,0.013
0.456,0.014
0.452,0.015
0.447,0.016
0.443,0.017
0.438,0.018
0.434,0.019
0.43,0.02
0.426,0.021
0.422,0.023
0.419,0.024
0.415,0.025
0.412,0.026
0.409,0.028
0.406,0.029
0.404,0.03
0.401,0.032
0.399,0.033
0.396,0.035
0.394,0.036
0.392,0.037
0.391,0.039
0.39,0.04
0.39,0.042
0.39,0.043
0.39,0.044
0.39,0.046
0.389,0.047
0.389,0.049
0.389,0.05
0.389,0.051
0.389,0.053
0.389,0.054
0.389,0.055
0.389,0.056
0.388,0.057
0.388,0.058
0.388,0.06
0.388,0.061
0.388,0.063
0.388,0.064
0.388,0.065
0.388,0.067
0.388,0.068
0.387,0.07
0.387,0.071
0.387,0.072
0.387,0.074
0.387,0.075
0.387,0.076
0.387,0.077
0.387,0.078
0.387,0.079
0.387,0.081
0.387,0.082
0.387,0.084
0.387,0.085
0.386,0.086
0.386,0.088
0.386,0.089
0.386,0.09
0.386,0.092
0.386,0.093
0.386,0.095
0.386,0.096
0.386,0.097
0.386,0.099
0.386,0.1
0.386,0.101
0.386,0.103
0.386,0.104
0.386,0.106
0.386,0.107
0.386,0.108
0.386,0.11
0.386,0.111
0.386,0.112
0.386,0.114
0.386,0.115
0.385,0.117
0.385,0.12
0.385,0.124
0.385,0.13
0.385,0.137
0.385,0.143
0.385,0.15
0.385,0.156
0.386,0.163
0.386,0.166
0.386,0.172
0.386,0.178
0.386,0.184
0.387,0.191
0.387,0.197
0.387,0.198
0.387,0.199
0.387,0.201
0.387,0.204
0.387,0.209
0.387,0.215
0.388,0.221
0.388,0.227
0.388,0.233
0.388,0.238
0.389,0.244
0.389,0.25
0.389,0.252
0.389,0.257
0.389,0.262
0.39,0.268
0.39,0.273
0.39,0.279
0.391,0.284
0.391,0.29
0.391,0.292
0.391,0.296
0.392,0.301
0.392,0.307
0.392,0.312
0.392,0.317
0.393,0.323
0.393,0.328
0.393,0.333
0.394,0.339
0.394,0.344
0.394,0.346
0.394,0.348
0.395,0.352
0.395,0.357
0.395,0.362
0.396,0.368
0.396,0.373
0.397,0.378
0.397,0.383
0.397,0.388
0.398,0.393
0.398,0.399
0.398,0.401
0.399,0.404
0.399,0.408
0.399,0.413
0.4,0.418
0.4,0.423
0.401,0.428
0.401,0.43
0.401,0.433
0.401,0.437
0.402,0.442
0.402,0.447
0.403,0.452
0.403,0.453
0.403,0.455
0.403,0.458
0.404,0.463
0.404,0.468
0.405,0.472
0.405,0.477
0.406,0.482
0.406,0.487
0.407,0.492
0.407,0.496
0.408,0.499
0.408,0.502
0.409,0.507
0.409,0.512
0.41,0.516
0.41,0.521
0.411,0.526
0.411,0.529
0.412,0.533
0.412,0.538
0.413,0.542
0.413,0.547
0.414,0.551
0.415,0.556
0.415,0.561
0.415,0.561
0.415,0.562
0.415,0.562
0.416,0.564
0.416,0.566
0.416,0.568
0.417,0.571
0.417,0.572
0.417,0.573
0.417,0.574
0.417,0.575
0.418,0.578
0.418,0.58
0.418,0.582
0.419,0.584
0.419,0.586
0.419,0.587
0.419,0.588
