time_s,mean_thrust_N,std_thrust_N,ci95_lower_N,ci95_upper_N
0.146,4558.097686937312,292.34201069883625,4358.097686937312,4758.097686937312
0.148,4471.708388423427,229.42149942618423,4271.708388423427,4671.708388423427
0.15,4412.297281290442,219.83970786290567,4212.297281290442,4612.297281290442
0.152,4407.081557198413,305.2441051144174,4207.081557198413,4607.081557198413
0.154,4447.247252866301,383.91343004437357,4247.247252866301,4647.247252866301
0.156,4514.879580509999,439.85219208983887,4314.879580509999,4714.879580509999
0.158,4538.930643040321,437.42174242282255,4338.930643040321,4738.930643040321
0.16,4551.577363604887,432.32003778021846,4351.577363604887,4751.577363604887
0.162,4564.457347116169,343.2080597249326,4364.457347116169,4764.457347116169
0.164,4531.350429166825,197.6219028124132,4331.350429166825,4731.350429166825
0.166,4449.406534249107,223.07233765673325,4249.406534249107,4649.406534249107
0.168,4369.387101259499,297.93828284747707,4169.387101259499,4569.387101259499
0.17,4353.570809191181,345.34706784531073,4153.570809191181,4553.570809191181
0.17200000000000001,4411.580320267801,368.93798853465205,4211.580320267801,4611.580320267801
0.17400000000000002,4504.587097413974,381.5334913376172,4304.587097413974,4704.587097413974
0.176,4547.3902987470265,400.70008388247555,4347.3902987470265,4747.3902987470265
0.178,4583.815878460125,386.2800023981833,4383.815878460125,4783.815878460125
0.18,4564.920634859375,303.4825120471728,4364.920634859375,4764.920634859375
0.182,4533.421032252459,202.45457658634623,4333.421032252459,4733.421032252459
0.184,4478.910656983023,272.92137851828005,4278.910656983023,4678.910656983023
0.186,4373.274870523663,300.54775566212385,4173.274870523663,4573.274870523663
0.188,4349.302391280807,338.2728526854235,4149.302391280807,4549.302391280807
0.19,4385.19606430126,367.73918138465933,4185.19606430126,4585.19606430126
0.192,4486.057518171185,366.14533942383053,4286.057518171185,4686.057518171185
0.194,4544.245304187926,338.40564825293205,4344.245304187926,4744.245304187926
0.196,4547.551054886334,336.5294609785337,4347.551054886334,4747.551054886334
0.198,4535.799336191212,330.62142861051353,4335.799336191212,4735.799336191212
0.2,4492.9504723710415,316.43164333918287,4292.9504723710415,4692.9504723710415
0.202,4449.758560445202,323.7635906970795,4249.758560445202,4649.758560445202
0.20400000000000001,4392.0869806893315,351.6702874655277,4192.0869806893315,4592.0869806893315
0.20600000000000002,4366.318718844415,401.05325096937236,4166.318718844415,4566.318718844415
0.20800000000000002,4379.735263151886,399.19622022440456,4179.735263151886,4579.735263151886
0.21,4466.303231927178,324.9656876461707,4266.303231927178,4666.303231927178
0.212,4546.5819591630025,260.20863142942517,4346.5819591630025,4746.5819591630025
0.214,4563.107765975115,325.77197640294406,4363.107765975115,4763.107765975115
0.216,4529.0843529823005,401.205147008315,4329.0843529823005,4729.0843529823005
0.218,4469.328120340272,382.8504001487186,4269.328120340272,4669.328120340272
0.22,4432.336129221975,354.06682367685926,4232.336129221975,4632.336129221975
0.222,4390.712965929134,389.21751822507684,4190.712965929134,4590.712965929134
0.224,4347.7325826080905,444.4337635296475,4147.7325826080905,4547.7325826080905
0.226,4362.000055231336,411.3874017375953,4162.000055231336,4562.000055231336
0.228,4428.61175786298,284.0345600354968,4228.61175786298,4628.61175786298
0.23,4495.770964445114,249.49350228771078,4295.770964445114,4695.770964445114
0.232,4511.692680459532,371.35658988051335,4311.692680459532,4711.692680459532
0.234,4482.450201496556,448.69523831637673,4282.450201496556,4682.450201496556
0.23600000000000002,4447.0743363364545,439.9618893157296,4247.0743363364545,4647.0743363364545
0.23800000000000002,4430.044061519985,380.56258725846334,4230.044061519985,4630.044061519985
0.24,4413.341661016696,352.3449978759104,4213.341661016696,4613.341661016696
0.242,4402.856295196867,369.2784908227739,4202.856295196867,4602.856295196867
0.244,4394.90888834525,325.24579243364286,4194.90888834525,4594.90888834525
0.246,4404.941909281871,220.42789696278317,4204.941909281871,4604.941909281871
0.248,4443.181590514482,234.35914362905626,4243.181590514482,4643.181590514482
0.25,4461.36367107198,358.7011659924478,4261.36367107198,4661.36367107198
0.252,4473.59147270098,444.45369082209066,4273.59147270098,4673.59147270098
0.254,4474.295547357092,443.54333040754267,4274.295547357092,4674.295547357092
0.256,4442.922881271468,388.3247229904543,4242.922881271468,4642.922881271468
0.258,4428.055534151439,332.09967846335553,4228.055534151439,4628.055534151439
0.26,4399.078611420524,306.3413684592037,4199.078611420524,4599.078611420524
0.262,4363.575664422165,276.64858115967246,4163.575664422165,4563.575664422165
0.264,4356.506526674329,218.2997729112145,4156.506526674329,4556.506526674329
0.266,4383.310226741876,252.63728884894797,4183.310226741876,4583.310226741876
0.268,4431.172318837542,348.86489045039133,4231.172318837542,4631.172318837542
0.27,4459.598669954122,399.3864539745833,4259.598669954122,4659.598669954122
0.272,4470.205129158482,384.73135995660397,4270.205129158482,4670.205129158482
0.274,4471.868320593642,326.5406247113175,4271.868320593642,4671.868320593642
0.276,4455.301558273307,261.12967820616507,4255.301558273307,4655.301558273307
0.278,4407.026116452458,231.1988512260426,4207.026116452458,4607.026116452458
0.28,4355.716176901375,239.6012936799315,4155.716176901375,4555.716176901375
0.28200000000000003,4313.53685570263,264.4341776366194,4113.53685570263,4513.53685570263
0.28400000000000003,4336.278606111182,318.12258935168126,4136.278606111182,4536.278606111182
0.28600000000000003,4401.41282164493,369.6636426972117,4201.41282164493,4601.41282164493
0.28800000000000003,4444.655527122184,367.92258459142386,4244.655527122184,4644.655527122184
0.29,4456.695826321291,331.8198343944772,4256.695826321291,4656.695826321291
0.292,4437.5265199648,275.927255613779,4237.5265199648,4637.5265199648
0.294,4405.247718928758,228.6351241895193,4205.247718928758,4605.247718928758
0.296,4388.852800885422,226.46399577955825,4188.852800885422,4588.852800885422
0.298,4372.043955466864,256.98987266502724,4172.043955466864,4572.043955466864
0.3,4361.875415233602,278.2335770598031,4161.875415233602,4561.875415233602
0.302,4375.259809638317,301.6523064930154,4175.259809638317,4575.259809638317
0.304,4395.60370038776,313.50905756046643,4195.60370038776,4595.60370038776
0.306,4440.476326003257,297.3423357892223,4240.476326003257,4640.476326003257
0.308,4448.829863035448,255.98596771966277,4248.829863035448,4648.829863035448
0.31,4410.795410566918,226.31206139162265,4210.795410566918,4610.795410566918
0.312,4387.614285866299,234.9275475462667,4187.614285866299,4587.614285866299
0.314,4366.512708771228,263.7823867840961,4166.512708771228,4566.512708771228
0.316,4359.609182339766,299.21521976730713,4159.609182339766,4559.609182339766
0.318,4361.891274028418,319.1179938966114,4161.891274028418,4561.891274028418
0.32,4368.962695674856,326.25851495428606,4168.962695674856,4568.962695674856
0.322,4394.510304149332,324.20408751300806,4194.510304149332,4594.510304149332
0.324,4397.293528077782,294.79178635673424,4197.293528077782,4597.293528077782
0.326,4380.427754918542,265.65660756293505,4180.427754918542,4580.427754918542
0.328,4372.852126431169,251.97555583073503,4172.852126431169,4572.852126431169
